,location
0,Afghanistan
1,Albania
2,Algeria
3,Andorra
4,Angola
5,Anguilla
6,Antigua and Barbuda
7,Argentina
8,Armenia
9,Aruba
10,Australia
11,Austria
12,Azerbaijan
13,Bahamas
14,Bahrain
15,Bangladesh
16,Barbados
17,Belarus
18,Belgium
19,Belize
20,Benin
21,Bermuda
22,Bhutan
23,Bolivia
24,Bonaire Sint Eustatius and Saba
25,Bosnia and Herzegovina
26,Botswana
27,Brazil
28,British Virgin Islands
29,Brunei
30,Bulgaria
31,Burkina Faso
32,Burundi
33,Cambodia
34,Cameroon
35,Canada
36,Cape Verde
37,Cayman Islands
38,Central African Republic
39,Chad
40,Chile
41,China
42,Colombia
43,Comoros
44,Congo
45,Costa Rica
46,Cote d'Ivoire
47,Croatia
48,Cuba
49,Curacao
50,Cyprus
51,Czech Republic
52,Democratic Republic of Congo
53,Denmark
54,Djibouti
55,Dominica
56,Dominican Republic
57,Ecuador
58,Egypt
59,El Salvador
60,Equatorial Guinea
61,Eritrea
62,Estonia
63,Ethiopia
64,Faeroe Islands
65,Falkland Islands
66,Fiji
67,Finland
68,France
69,French Polynesia
70,Gabon
71,Gambia
72,Georgia
73,Germany
74,Ghana
75,Gibraltar
76,Greece
77,Greenland
78,Grenada
79,Guam
80,Guatemala
81,Guernsey
82,Guinea
83,Guinea-Bissau
84,Guyana
85,Haiti
86,Honduras
87,Hong Kong
88,Hungary
89,Iceland
90,India
91,Indonesia
92,Iran
93,Iraq
94,Ireland
95,Isle of Man
96,Israel
97,Italy
98,Jamaica
99,Japan
100,Jersey
101,Jordan
102,Kazakhstan
103,Kenya
104,Kosovo
105,Kuwait
106,Kyrgyzstan
107,Laos
108,Latvia
109,Lebanon
110,Lesotho
111,Liberia
112,Libya
113,Liechtenstein
114,Lithuania
115,Luxembourg
116,Macedonia
117,Madagascar
118,Malawi
119,Malaysia
120,Maldives
121,Mali
122,Malta
123,Mauritania
124,Mauritius
125,Mexico
126,Moldova
127,Monaco
128,Mongolia
129,Montenegro
130,Montserrat
131,Morocco
132,Mozambique
133,Myanmar
134,Namibia
135,Nepal
136,Netherlands
137,New Caledonia
138,New Zealand
139,Nicaragua
140,Niger
141,Nigeria
142,Northern Mariana Islands
143,Norway
144,Oman
145,Pakistan
146,Palestine
147,Panama
148,Papua New Guinea
149,Paraguay
150,Peru
151,Philippines
152,Poland
153,Portugal
154,Puerto Rico
155,Qatar
156,Romania
157,Russia
158,Rwanda
159,Saint Kitts and Nevis
160,Saint Lucia
161,Saint Vincent and the Grenadines
162,San Marino
163,Sao Tome and Principe
164,Saudi Arabia
165,Senegal
166,Serbia
167,Seychelles
168,Sierra Leone
169,Singapore
170,Sint Maarten (Dutch part)
171,Slovakia
172,Slovenia
173,Somalia
174,South Africa
175,South Korea
176,South Sudan
177,Spain
178,Sri Lanka
179,Sudan
180,Suriname
181,Swaziland
182,Sweden
183,Switzerland
184,Syria
185,Taiwan
186,Tajikistan
187,Tanzania
188,Thailand
189,Timor
190,Togo
191,Trinidad and Tobago
192,Tunisia
193,Turkey
194,Turks and Caicos Islands
195,Uganda
196,Ukraine
197,United Arab Emirates
198,United Kingdom
199,United States
200,United States Virgin Islands
201,Uruguay
202,Uzbekistan
203,Vatican
204,Venezuela
205,Vietnam
206,Western Sahara
207,Yemen
208,Zambia
209,Zimbabwe
210,World
211,International
