,location,max_date
0,Afghanistan,2020-09-20
1,Albania,2020-09-20
2,Algeria,2020-09-20
3,Andorra,2020-09-20
4,Angola,2020-09-20
5,Anguilla,2020-09-20
6,Antigua and Barbuda,2020-09-20
7,Argentina,2020-09-20
8,Armenia,2020-09-20
9,Aruba,2020-09-20
10,Australia,2020-09-20
11,Austria,2020-09-20
12,Azerbaijan,2020-09-20
13,Bahamas,2020-09-20
14,Bahrain,2020-09-20
15,Bangladesh,2020-09-20
16,Barbados,2020-09-20
17,Belarus,2020-09-20
18,Belgium,2020-09-20
19,Belize,2020-09-20
20,Benin,2020-09-20
21,Bermuda,2020-09-20
22,Bhutan,2020-09-20
23,Bolivia,2020-09-20
24,Bonaire Sint Eustatius and Saba,2020-09-20
25,Bosnia and Herzegovina,2020-09-20
26,Botswana,2020-09-20
27,Brazil,2020-09-20
28,British Virgin Islands,2020-09-20
29,Brunei,2020-09-20
30,Bulgaria,2020-09-20
31,Burkina Faso,2020-09-20
32,Burundi,2020-09-20
33,Cambodia,2020-09-20
34,Cameroon,2020-09-20
35,Canada,2020-09-20
36,Cape Verde,2020-09-20
37,Cayman Islands,2020-09-20
38,Central African Republic,2020-09-20
39,Chad,2020-09-20
40,Chile,2020-09-20
41,China,2020-09-20
42,Colombia,2020-09-20
43,Comoros,2020-09-20
44,Congo,2020-09-20
45,Costa Rica,2020-09-20
46,Cote d'Ivoire,2020-09-20
47,Croatia,2020-09-20
48,Cuba,2020-09-20
49,Curacao,2020-09-20
50,Cyprus,2020-09-20
51,Czech Republic,2020-09-20
52,Democratic Republic of Congo,2020-09-20
53,Denmark,2020-09-20
54,Djibouti,2020-09-20
55,Dominica,2020-09-20
56,Dominican Republic,2020-09-20
57,Ecuador,2020-09-20
58,Egypt,2020-09-20
59,El Salvador,2020-09-20
60,Equatorial Guinea,2020-09-20
61,Eritrea,2020-09-20
62,Estonia,2020-09-20
63,Ethiopia,2020-09-20
64,Faeroe Islands,2020-09-20
65,Falkland Islands,2020-09-20
66,Fiji,2020-09-20
67,Finland,2020-09-20
68,France,2020-09-20
69,French Polynesia,2020-09-20
70,Gabon,2020-09-20
71,Gambia,2020-09-20
72,Georgia,2020-09-20
73,Germany,2020-09-20
74,Ghana,2020-09-20
75,Gibraltar,2020-09-20
76,Greece,2020-09-20
77,Greenland,2020-09-20
78,Grenada,2020-09-20
79,Guam,2020-09-20
80,Guatemala,2020-09-20
81,Guernsey,2020-09-20
82,Guinea,2020-09-20
83,Guinea-Bissau,2020-09-20
84,Guyana,2020-09-20
85,Haiti,2020-09-20
86,Honduras,2020-09-20
87,Hong Kong,2020-09-08
88,Hungary,2020-09-20
89,Iceland,2020-09-20
90,India,2020-09-20
91,Indonesia,2020-09-20
92,International,2020-09-20
93,Iran,2020-09-20
94,Iraq,2020-09-20
95,Ireland,2020-09-20
96,Isle of Man,2020-09-20
97,Israel,2020-09-20
98,Italy,2020-09-20
99,Jamaica,2020-09-20
100,Japan,2020-09-20
101,Jersey,2020-09-20
102,Jordan,2020-09-20
103,Kazakhstan,2020-09-20
104,Kenya,2020-09-20
105,Kosovo,2020-09-20
106,Kuwait,2020-09-20
107,Kyrgyzstan,2020-09-20
108,Laos,2020-09-20
109,Latvia,2020-09-20
110,Lebanon,2020-09-20
111,Lesotho,2020-09-20
112,Liberia,2020-09-20
113,Libya,2020-09-20
114,Liechtenstein,2020-09-20
115,Lithuania,2020-09-20
116,Luxembourg,2020-09-20
117,Macedonia,2020-09-20
118,Madagascar,2020-09-20
119,Malawi,2020-09-20
120,Malaysia,2020-09-20
121,Maldives,2020-09-20
122,Mali,2020-09-20
123,Malta,2020-09-20
124,Mauritania,2020-09-20
125,Mauritius,2020-09-20
126,Mexico,2020-09-20
127,Moldova,2020-09-20
128,Monaco,2020-09-20
129,Mongolia,2020-09-20
130,Montenegro,2020-09-20
131,Montserrat,2020-09-20
132,Morocco,2020-09-20
133,Mozambique,2020-09-20
134,Myanmar,2020-09-20
135,Namibia,2020-09-20
136,Nepal,2020-09-20
137,Netherlands,2020-09-20
138,New Caledonia,2020-09-20
