,date,total_cases,total_cases
0,2020-02-11,,2.0
1,2020-02-12,,2.0
2,2020-02-13,,2.0
3,2020-02-14,,2.0
4,2020-02-15,,2.0
5,2020-02-16,,2.0
6,2020-02-17,,2.0
7,2020-02-18,,2.0
8,2020-02-19,,2.0
9,2020-02-20,,2.0
10,2020-02-21,,2.0
11,2020-02-22,,2.0
12,2020-02-23,,2.0
13,2020-02-24,,2.0
14,2020-02-25,,3.0
15,2020-02-26,,9.0
16,2020-02-27,,17.0
17,2020-02-28,,35.0
18,2020-02-29,,54.0
19,2020-03-01,,82.0
20,2020-03-02,,136.0
21,2020-03-03,,192.0
22,2020-03-04,1.0,267.0
23,2020-03-05,,348.0
24,2020-03-06,2.0,531.0
25,2020-03-07,8.0,764.0
26,2020-03-08,9.0,1094.0
27,2020-03-09,12.0,1527.0
28,2020-03-10,,2299.0
29,2020-03-11,19.0,3274.0
30,2020-03-12,,4427.0
31,2020-03-13,31.0,5958.0
32,2020-03-14,34.0,7641.0
33,2020-03-15,45.0,9785.0
34,2020-03-16,56.0,11491.0
35,2020-03-17,65.0,13994.0
36,2020-03-18,79.0,17688.0
37,2020-03-19,97.0,21735.0
38,2020-03-20,128.0,26304.0
39,2020-03-21,158.0,31750.0
40,2020-03-22,225.0,36616.0
41,2020-03-23,266.0,41262.0
42,2020-03-24,301.0,48953.0
43,2020-03-25,387.0,57506.0
44,2020-03-26,502.0,66460.0
45,2020-03-27,589.0,75641.0
46,2020-03-28,690.0,83885.0
47,2020-03-29,745.0,90309.0
48,2020-03-30,820.0,96122.0
49,2020-03-31,966.0,104267.0
50,2020-04-01,966.0,111680.0
51,2020-04-02,1133.0,119263.0
52,2020-04-03,1133.0,126535.0
53,2020-04-04,1265.0,133198.0
54,2020-04-05,1451.0,138731.0
55,2020-04-06,1554.0,142398.0
56,2020-04-07,1628.0,147607.0
57,2020-04-08,1715.0,153190.0
58,2020-04-09,1795.0,158935.0
59,2020-04-10,1894.0,163472.0
60,2020-04-11,1975.0,168022.0
61,2020-04-12,2137.0,171921.0
62,2020-04-13,2203.0,174951.0
63,2020-04-14,2272.0,178067.0
64,2020-04-15,2432.0,182491.0
65,2020-04-16,2432.0,186311.0
66,2020-04-17,2560.0,190129.0
67,2020-04-18,2658.0,193965.0
68,2020-04-19,2828.0,193252.0
69,2020-04-20,2930.0,195470.0
70,2020-04-21,3020.0,198421.0
71,2020-04-22,3132.0,200733.0
72,2020-04-23,3276.0,203649.0
73,2020-04-24,3423.0,205763.0
74,2020-04-25,3423.0,208269.0
75,2020-04-26,3767.0,209910.0
76,2020-04-27,3767.0,211570.0
77,2020-04-28,3990.0,213095.0
78,2020-04-29,4114.0,213942.0
79,2020-04-30,4272.0,215183.0
80,2020-05-01,4415.0,216570.0
81,2020-05-02,4519.0,217804.0
82,2020-05-03,4668.0,218739.0
83,2020-05-04,4770.0,219205.0
84,2020-05-05,4874.0,220244.0
85,2020-05-06,5007.0,221124.0
86,2020-05-07,5195.0,222045.0
87,2020-05-08,5358.0,223218.0
88,2020-05-09,5598.0,223961.0
89,2020-05-10,5763.0,227377.0
90,2020-05-11,5776.0,227770.0
91,2020-05-12,6021.0,228252.0
92,2020-05-13,6550.0,228691.0
93,2020-05-14,6866.0,229540.0
94,2020-05-15,7121.0,230183.0
95,2020-05-16,7466.0,230698.0
96,2020-05-17,7792.0,231350.0
97,2020-05-18,7792.0,231606.0
98,2020-05-19,8358.0,232037.0
99,2020-05-20,8796.0,232555.0
100,2020-05-21,9270.0,233037.0
101,2020-05-22,9918.0,234824.0
102,2020-05-23,10636.0,235290.0
103,2020-05-24,11340.0,235772.0
104,2020-05-25,12063.0,235400.0
105,2020-05-26,12615.0,236259.0
106,2020-05-27,13215.0,236769.0
107,2020-05-28,13920.0,237906.0
108,2020-05-29,14689.0,238564.0
109,2020-05-30,15406.0,239228.0
110,2020-05-31,16201.0,239429.0
111,2020-06-01,16838.0,239638.0
112,2020-06-02,17402.0,239932.0
113,2020-06-03,18306.0,240326.0
114,2020-06-04,19255.0,240660.0
115,2020-06-05,19255.0,240978.0
116,2020-06-06,21024.0,241310.0
117,2020-06-07,22007.0,241550.0
118,2020-06-08,22781.0,241717.0
119,2020-06-09,23607.0,241966.0
120,2020-06-10,24748.0,242280.0
121,2020-06-11,25987.0,242707.0
122,2020-06-12,27360.0,243209.0
123,2020-06-13,28751.0,243605.0
124,2020-06-14,30282.0,243928.0
125,2020-06-15,31564.0,244109.0
126,2020-06-16,32772.0,244328.0
127,2020-06-17,34146.0,244683.0
128,2020-06-18,35539.0,245268.0
129,2020-06-19,35539.0,245575.0
130,2020-06-20,39557.0,245938.0
131,2020-06-21,41191.0,246272.0
132,2020-06-22,42772.0,246504.0
133,2020-06-23,44918.0,246752.0
134,2020-06-24,44918.0,247086.0
135,2020-06-25,49838.0,247486.0
136,2020-06-26,52444.0,247905.0
137,2020-06-27,52444.0,248469.0
138,2020-06-28,57731.0,248770.0
139,2020-06-29,57731.0,248970.0
140,2020-06-30,62255.0,249271.0
141,2020-07-01,64517.0,249659.0
142,2020-07-02,67184.0,250103.0
143,2020-07-03,69928.0,250545.0
144,2020-07-04,72773.0,250545.0
145,2020-07-05,72773.0,250545.0
146,2020-07-06,75363.0,251789.0
147,2020-07-07,77802.0,252130.0
148,2020-07-08,80434.0,252513.0
149,2020-07-09,83413.0,253056.0
150,2020-07-10,87017.0,253908.0
151,2020-07-11,90680.0,253908.0
152,2020-07-12,94047.0,253908.0
153,2020-07-13,97496.0,255953.0
154,2020-07-14,100153.0,256619.0
155,2020-07-15,103252.0,257494.0
156,2020-07-16,106897.0,258855.0
157,2020-07-17,111147.0,260255.0
158,2020-07-18,114770.0,260255.0
159,2020-07-19,119288.0,260255.0
160,2020-07-20,122511.0,264836.0
161,2020-07-21,126742.0,266194.0
