,date,location,total_cases
0,2020-02-01,Spain,1.0
1,2020-02-02,Spain,1.0
2,2020-02-03,Spain,1.0
3,2020-02-04,Spain,1.0
4,2020-02-05,Spain,1.0
5,2020-02-06,Spain,1.0
6,2020-02-07,Spain,1.0
7,2020-02-08,Spain,1.0
8,2020-02-09,Spain,1.0
9,2020-02-10,Spain,2.0
10,2020-02-11,Spain,2.0
11,2020-02-12,Spain,2.0
12,2020-02-13,Spain,2.0
13,2020-02-14,Spain,2.0
14,2020-02-15,Spain,2.0
15,2020-02-16,Spain,2.0
16,2020-02-17,Spain,2.0
17,2020-02-18,Spain,2.0
18,2020-02-19,Spain,2.0
19,2020-02-20,Spain,2.0
20,2020-02-21,Spain,2.0
21,2020-02-22,Spain,2.0
22,2020-02-23,Spain,2.0
23,2020-02-24,Spain,2.0
24,2020-02-25,Spain,3.0
25,2020-02-26,Spain,9.0
26,2020-02-27,Spain,17.0
27,2020-02-28,Spain,35.0
28,2020-02-29,Spain,54.0
29,2020-03-01,Spain,82.0
30,2020-03-02,Spain,136.0
31,2020-03-03,Spain,192.0
32,2020-03-04,Argentina,1.0
33,2020-03-04,Spain,267.0
34,2020-03-05,Spain,348.0
35,2020-03-06,Argentina,2.0
36,2020-03-06,Spain,531.0
37,2020-03-07,Argentina,8.0
38,2020-03-07,Spain,764.0
39,2020-03-08,Argentina,9.0
40,2020-03-08,Spain,1094.0
41,2020-03-09,Argentina,12.0
42,2020-03-09,Spain,1527.0
43,2020-03-10,Spain,2299.0
44,2020-03-11,Argentina,19.0
45,2020-03-11,Spain,3274.0
46,2020-03-12,Spain,4427.0
47,2020-03-13,Argentina,31.0
48,2020-03-13,Spain,5958.0
49,2020-03-14,Argentina,34.0
50,2020-03-14,Spain,7641.0
51,2020-03-15,Argentina,45.0
52,2020-03-15,Spain,9785.0
53,2020-03-16,Argentina,56.0
54,2020-03-16,Spain,11491.0
55,2020-03-17,Argentina,65.0
56,2020-03-17,Spain,13994.0
57,2020-03-18,Argentina,79.0
58,2020-03-18,Spain,17688.0
59,2020-03-19,Argentina,97.0
60,2020-03-19,Spain,21735.0
61,2020-03-20,Argentina,128.0
62,2020-03-20,Spain,26304.0
63,2020-03-21,Argentina,158.0
64,2020-03-21,Spain,31750.0
65,2020-03-22,Argentina,225.0
66,2020-03-22,Spain,36616.0
67,2020-03-23,Argentina,266.0
68,2020-03-23,Spain,41262.0
69,2020-03-24,Argentina,301.0
70,2020-03-24,Spain,48953.0
71,2020-03-25,Argentina,387.0
72,2020-03-25,Spain,57506.0
73,2020-03-26,Argentina,502.0
74,2020-03-26,Spain,66460.0
75,2020-03-27,Argentina,589.0
