,true_value,predicted_value,is_correct
0,9,4,0
1,2,4,0
2,1,1,1
3,1,1,1
4,6,6,1
5,1,1,1
6,4,4,1
7,6,4,0
8,5,5,1
9,7,7,1
10,4,2,0
11,5,8,0
12,7,8,0
13,3,3,1
14,4,6,0
15,1,1,1
16,2,2,1
17,4,6,0
18,8,9,0
19,0,0,1
20,2,4,0
21,5,7,0
22,7,7,1
23,9,7,0
24,1,1,1
25,4,2,0
26,6,6,1
27,0,0,1
28,9,7,0
29,3,0,0
30,8,4,0
31,8,5,0
32,3,3,1
33,3,3,1
34,8,8,1
35,0,6,0
36,7,7,1
37,5,7,0
38,7,7,1
39,9,9,1
40,6,6,1
41,1,1,1
42,3,0,0
43,7,9,0
44,6,6,1
45,7,8,0
46,2,6,0
47,1,1,1
48,2,4,0
49,2,6,0
50,4,2,0
51,4,2,0
52,5,5,1
53,8,6,0
54,2,4,0
55,2,2,1
56,8,8,1
57,4,4,1
58,8,9,0
59,0,0,1
60,7,7,1
61,7,7,1
62,8,7,0
63,5,5,1
64,1,1,1
65,1,1,1
66,2,2,1
67,3,3,1
68,9,4,0
69,8,4,0
70,7,7,1
71,0,0,1
72,2,0,0
73,6,0,0
74,2,4,0
75,3,3,1
76,1,1,1
77,2,2,1
78,8,8,1
79,4,6,0
80,1,5,0
81,8,8,1
82,5,9,0
83,9,9,1
84,5,4,0
85,0,6,0
86,3,3,1
87,2,0,0
88,0,0,1
89,6,0,0
90,5,5,1
91,3,3,1
92,6,6,1
93,7,7,1
94,1,1,1
95,8,8,1
96,0,0,1
97,1,4,0
98,4,6,0
99,2,2,1
100,3,3,1
101,6,4,0
102,7,7,1
103,2,4,0
104,7,7,1
105,8,8,1
106,5,5,1
107,9,4,0
108,9,9,1
109,4,2,0
110,2,2,1
111,5,5,1
112,7,4,0
113,0,6,0
114,5,5,1
115,2,4,0
116,8,4,0
117,6,4,0
118,7,7,1
119,8,9,0
120,0,0,1
121,0,0,1
122,9,4,0
123,9,9,1
124,3,3,1
125,0,0,1
126,8,7,0
127,4,6,0
128,1,1,1
129,5,5,1
130,4,4,1
131,1,3,0
132,9,9,1
133,1,1,1
134,8,8,1
135,6,4,0
136,2,6,0
137,1,1,1
138,2,6,0
139,5,8,0
140,1,1,1
141,0,0,1
142,0,0,1
143,0,0,1
144,1,1,1
145,6,0,0
146,1,4,0
147,6,3,0
148,2,4,0
149,2,6,0
150,4,0,0
151,4,6,0
152,1,1,1
153,4,6,0
154,5,5,1
155,0,6,0
156,4,4,1
157,7,7,1
158,9,9,1
159,3,3,1
160,7,4,0
161,2,6,0
162,3,0,0
163,9,4,0
164,0,0,1
165,9,9,1
166,4,4,1
167,7,4,0
168,4,2,0
169,2,2,1
170,0,3,0
171,5,7,0
172,2,2,1
173,1,1,1
174,2,2,1
