,true_value,is_correct,predicted_value
0,9,1,9.0
1,2,1,2.0
2,1,1,1.0
3,1,1,1.0
4,6,1,6.0
5,1,1,1.0
6,4,1,4.0
7,6,0,4.0
8,5,0,7.0
9,7,1,7.0
10,4,1,4.0
11,5,0,9.0
12,7,0,5.0
13,3,1,3.0
14,4,1,4.0
15,1,1,1.0
16,2,1,2.0
17,4,1,4.0
18,8,1,8.0
19,0,1,0.0
20,2,1,2.0
21,5,0,7.0
22,7,1,7.0
23,9,0,7.0
24,1,1,1.0
25,4,0,2.0
26,6,0,4.0
27,0,1,0.0
28,9,1,9.0
29,3,0,4.0
30,8,1,8.0
31,8,1,8.0
32,3,1,3.0
33,3,1,3.0
34,8,1,8.0
35,0,1,0.0
36,7,1,7.0
37,5,0,7.0
38,7,1,7.0
39,9,1,9.0
40,6,0,0.0
41,1,1,1.0
42,3,0,4.0
43,7,0,9.0
44,6,0,4.0
45,7,0,9.0
46,2,1,2.0
47,1,1,1.0
48,2,0,4.0
49,2,0,6.0
50,4,1,4.0
51,4,0,2.0
52,5,1,5.0
53,8,0,6.0
54,2,0,4.0
55,2,1,2.0
56,8,1,8.0
57,4,1,4.0
58,8,1,8.0
59,0,1,0.0
60,7,1,7.0
61,7,1,7.0
62,8,1,8.0
63,5,1,5.0
64,1,1,1.0
65,1,1,1.0
66,2,0,3.0
67,3,0,1.0
68,9,0,7.0
69,8,1,8.0
70,7,1,7.0
71,0,1,0.0
72,2,1,2.0
73,6,0,3.0
74,2,0,4.0
75,3,1,3.0
76,1,1,1.0
77,2,1,2.0
78,8,1,8.0
79,4,1,4.0
80,1,1,1.0
81,8,1,8.0
82,5,1,5.0
83,9,1,9.0
84,5,1,5.0
85,0,1,0.0
86,3,1,3.0
87,2,1,2.0
88,0,1,0.0
89,6,0,2.0
90,5,1,5.0
91,3,1,3.0
92,6,1,6.0
93,7,1,7.0
94,1,1,1.0
95,8,1,8.0
96,0,1,0.0
97,1,1,1.0
98,4,1,4.0
99,2,1,2.0
100,3,1,3.0
101,6,0,4.0
102,7,1,7.0
103,2,0,4.0
104,7,1,7.0
105,8,1,8.0
106,5,0,7.0
107,9,1,9.0
108,9,1,9.0
109,4,1,4.0
110,2,1,2.0
111,5,1,5.0
112,7,1,7.0
113,0,1,0.0
114,5,1,5.0
115,2,1,2.0
116,8,1,8.0
117,6,0,4.0
118,7,1,7.0
119,8,1,8.0
120,0,1,0.0
121,0,1,0.0
122,9,1,9.0
123,9,1,9.0
124,3,1,3.0
125,0,1,0.0
126,8,1,8.0
127,4,1,4.0
128,1,1,1.0
129,5,1,5.0
130,4,1,4.0
131,1,1,1.0
132,9,1,9.0
133,1,1,1.0
134,8,1,8.0
135,6,0,4.0
136,2,0,6.0
137,1,1,1.0
138,2,0,4.0
139,5,1,5.0
140,1,1,1.0
141,0,1,0.0
142,0,1,0.0
143,0,1,0.0
144,1,1,1.0
145,6,0,0.0
146,1,1,1.0
147,6,0,3.0
148,2,1,2.0
149,2,1,2.0
150,4,0,6.0
151,4,1,4.0
152,1,1,1.0
153,4,0,3.0
154,5,1,5.0
155,0,1,0.0
156,4,1,4.0
157,7,1,7.0
158,9,1,9.0
159,3,1,3.0
160,7,1,7.0
161,2,1,2.0
162,3,1,3.0
163,9,1,9.0
164,0,1,0.0
165,9,1,9.0
166,4,1,4.0
167,7,1,7.0
168,4,1,4.0
169,2,1,2.0
170,0,1,0.0
171,5,1,5.0
172,2,0,4.0
173,1,1,1.0
174,2,1,2.0
175,1,1,1.0
176,3,1,3.0
177,0,1,0.0
178,9,1,9.0
179,1,1,1.0
180,0,1,0.0
181,9,1,9.0
182,3,1,3.0
183,6,0,8.0
184,7,1,7.0
185,9,1,9.0
186,9,1,9.0
187,4,1,4.0
188,4,1,4.0
189,7,1,7.0
190,1,0,3.0
191,2,1,2.0
192,1,1,1.0
193,6,0,2.0
194,3,1,3.0
195,2,1,2.0
196,8,1,8.0
197,3,1,3.0
198,6,1,6.0
199,1,1,1.0
200,1,1,1.0
201,0,1,0.0
202,2,0,4.0
203,9,1,9.0
204,2,0,4.0
205,4,1,4.0
206,0,1,0.0
207,7,1,7.0
208,9,1,9.0
209,8,1,8.0
210,4,1,4.0
211,1,1,1.0
212,8,1,8.0
213,4,1,4.0
214,1,1,1.0
215,3,1,3.0
216,1,1,1.0
217,6,0,4.0
218,7,1,7.0
219,2,0,4.0
220,8,1,8.0
221,5,1,5.0
222,2,0,4.0
223,0,1,0.0
224,7,1,7.0
225,7,1,7.0
226,6,0,0.0
227,2,0,6.0
228,7,1,7.0
229,0,1,0.0
230,7,1,7.0
231,8,1,8.0
232,9,1,9.0
233,2,1,2.0
234,9,1,9.0
235,0,1,0.0
236,5,1,5.0
237,1,1,1.0
238,4,1,4.0
239,4,0,2.0
240,5,1,5.0
241,6,0,4.0
242,9,1,9.0
243,2,0,4.0
244,6,0,2.0
245,8,1,8.0
246,6,0,4.0
247,4,1,4.0
248,2,1,2.0
249,2,0,4.0
250,9,1,9.0
251,7,1,7.0
252,6,0,3.0
253,5,1,5.0
254,5,1,5.0
255,2,0,4.0
256,8,1,8.0
257,5,1,5.0
258,2,1,2.0
259,3,1,3.0
260,0,1,0.0
261,4,1,4.0
262,8,1,8.0
263,0,1,0.0
264,0,1,0.0
265,6,0,4.0
266,3,1,3.0
267,8,0,6.0
268,9,1,9.0
269,6,0,0.0
270,1,1,1.0
271,3,1,3.0
272,0,1,0.0
273,2,0,4.0
274,3,1,3.0
275,0,1,0.0
276,8,1,8.0
277,3,1,3.0
278,7,1,7.0
279,4,1,4.0
280,0,1,0.0
281,1,1,1.0
282,6,0,2.0
283,3,1,3.0
284,0,1,0.0
285,6,0,4.0
286,6,0,0.0
287,7,1,7.0
288,5,1,5.0
289,4,0,3.0
290,5,1,5.0
291,9,1,9.0
292,5,1,5.0
293,6,0,0.0
294,5,1,5.0
295,5,1,5.0
296,1,1,1.0
297,9,1,9.0
298,8,1,8.0
299,8,0,3.0
300,3,1,3.0
301,3,1,3.0
302,6,1,6.0
303,8,1,8.0
304,0,1,0.0
305,0,1,0.0
306,2,0,4.0
307,9,1,9.0
308,7,1,7.0
309,7,0,9.0
310,1,1,1.0
311,3,1,3.0
312,6,0,2.0
313,4,1,4.0
314,2,1,2.0
315,4,1,4.0
316,9,0,7.0
317,1,1,1.0
318,6,1,6.0
319,4,1,4.0
320,8,1,8.0
321,2,1,2.0
322,6,0,0.0
323,5,1,5.0
324,4,1,4.0
325,6,0,4.0
326,7,1,7.0
327,7,1,7.0
328,7,1,7.0
329,3,1,3.0
330,3,1,3.0
331,7,1,7.0
332,0,0,3.0
333,7,1,7.0
334,1,1,1.0
335,3,1,3.0
336,7,1,7.0
337,2,1,2.0
338,2,1,2.0
339,3,1,3.0
340,4,1,4.0
341,0,1,0.0
342,3,1,3.0
343,1,1,1.0
344,6,0,0.0
345,1,1,1.0
346,9,1,9.0
347,4,1,4.0
348,9,1,9.0
349,9,1,9.0
350,1,1,1.0
351,7,1,7.0
352,8,1,8.0
353,3,1,3.0
354,6,0,3.0
355,0,1,0.0
356,2,1,2.0
357,4,1,4.0
358,8,1,8.0
359,0,0,6.0
360,1,1,1.0
361,2,1,2.0
362,2,1,2.0
363,4,1,4.0
364,4,1,4.0
365,7,1,7.0
366,3,1,3.0
367,2,0,4.0
368,2,1,2.0
369,5,1,5.0
370,0,1,0.0
371,7,1,7.0
372,9,1,9.0
373,4,1,4.0
374,0,1,0.0
375,9,1,9.0
376,3,1,3.0
377,9,1,9.0
378,4,0,3.0
379,2,1,2.0
380,5,1,5.0
381,0,1,0.0
382,2,0,0.0
383,3,1,3.0
384,5,1,5.0
385,8,1,8.0
386,1,1,1.0
387,6,1,6.0
388,2,1,2.0
389,6,0,2.0
390,6,1,6.0
391,4,1,4.0
392,9,1,9.0
393,5,1,5.0
394,2,1,2.0
395,0,1,0.0
396,4,1,4.0
397,6,0,4.0
398,1,1,1.0
399,2,1,2.0
400,0,1,0.0
401,9,1,9.0
402,7,1,7.0
403,0,1,0.0
404,4,1,4.0
405,4,1,4.0
406,6,0,3.0
407,6,0,3.0
408,2,0,4.0
409,1,0,3.0
410,0,1,0.0
411,6,0,4.0
412,7,1,7.0
413,2,1,2.0
414,9,1,9.0
415,4,1,4.0
416,2,1,2.0
417,1,1,1.0
418,5,0,8.0
419,4,1,4.0
420,5,1,5.0
421,3,1,3.0
422,8,1,8.0
423,5,1,5.0
424,8,1,8.0
425,4,1,4.0
426,4,1,4.0
427,8,1,8.0
428,9,1,9.0
429,8,1,8.0
430,6,1,6.0
431,2,0,4.0
432,4,0,2.0
433,4,1,4.0
434,2,0,4.0
435,4,0,3.0
436,1,1,1.0
437,6,1,6.0
438,1,1,1.0
439,3,1,3.0
440,0,1,0.0
441,9,0,7.0
442,8,1,8.0
443,8,1,8.0
444,6,0,4.0
445,5,0,9.0
446,3,1,3.0
447,1,1,1.0
448,9,0,7.0
449,5,1,5.0
450,3,1,3.0
451,3,1,3.0
452,0,1,0.0
453,1,1,1.0
454,0,0,3.0
455,2,1,2.0
456,9,1,9.0
457,2,0,4.0
458,0,1,0.0
459,6,1,6.0
460,3,0,1.0
461,4,1,4.0
462,2,1,2.0
463,0,1,0.0
464,0,1,0.0
465,3,0,4.0
466,3,1,3.0
467,8,1,8.0
468,2,1,2.0
469,8,1,8.0
470,9,1,9.0
471,4,1,4.0
472,0,1,0.0
473,7,1,7.0
474,6,0,0.0
475,4,1,4.0
476,4,1,4.0
477,9,1,9.0
478,2,0,4.0
479,9,1,9.0
480,5,0,7.0
481,9,1,9.0
482,3,1,3.0
483,7,0,5.0
484,5,1,5.0
485,7,0,9.0
486,8,1,8.0
487,1,1,1.0
488,0,1,0.0
489,0,1,0.0
490,3,0,6.0
491,4,1,4.0
492,8,1,8.0
493,9,1,9.0
494,7,1,7.0
495,9,1,9.0
496,1,1,1.0
497,2,1,2.0
498,7,1,7.0
499,0,0,3.0
500,2,1,2.0
501,0,1,0.0
502,5,0,9.0
503,7,0,9.0
504,1,1,1.0
505,8,1,8.0
506,2,0,4.0
507,2,1,2.0
508,2,1,2.0
509,2,1,2.0
510,4,1,4.0
511,2,0,4.0
512,6,0,0.0
513,1,1,1.0
514,9,1,9.0
515,8,1,8.0
516,5,1,5.0
517,1,1,1.0
518,9,1,9.0
519,1,1,1.0
520,2,1,2.0
521,8,1,8.0
522,3,1,3.0
523,8,1,8.0
524,9,1,9.0
525,2,1,2.0
526,4,1,4.0
527,2,0,4.0
528,8,1,8.0
529,8,1,8.0
530,2,0,4.0
531,0,0,1.0
532,5,1,5.0
533,8,1,8.0
534,8,1,8.0
535,5,1,5.0
536,3,1,3.0
537,9,1,9.0
538,4,1,4.0
539,3,1,3.0
540,4,1,4.0
541,4,1,4.0
542,5,1,5.0
543,1,1,1.0
544,0,1,0.0
545,1,1,1.0
546,2,0,4.0
547,0,1,0.0
548,6,0,4.0
549,9,1,9.0
550,6,1,6.0
551,1,1,1.0
552,5,1,5.0
553,1,1,1.0
554,1,0,3.0
555,1,1,1.0
556,9,1,9.0
557,3,1,3.0
558,4,1,4.0
559,5,1,5.0
560,3,0,0.0
561,6,0,3.0
562,6,0,2.0
563,6,0,0.0
564,4,1,4.0
565,6,0,0.0
566,0,1,0.0
567,5,1,5.0
568,8,1,8.0
569,3,1,3.0
570,3,0,6.0
571,4,1,4.0
572,6,0,0.0
573,7,1,7.0
574,7,1,7.0
575,8,1,8.0
576,9,1,9.0
577,0,1,0.0
578,3,0,6.0
579,8,1,8.0
580,7,1,7.0
581,6,0,0.0
582,7,1,7.0
583,9,1,9.0
584,3,1,3.0
585,4,1,4.0
586,6,0,0.0
587,6,0,4.0
588,5,1,5.0
589,0,1,0.0
590,1,1,1.0
591,1,1,1.0
592,5,1,5.0
593,9,1,9.0
594,4,0,3.0
595,6,0,2.0
596,5,1,5.0
597,7,1,7.0
598,8,1,8.0
599,1,1,1.0
600,2,1,2.0
601,9,1,9.0
602,7,1,7.0
603,7,1,7.0
604,1,1,1.0
605,0,1,0.0
606,9,1,9.0
607,3,0,0.0
608,2,1,2.0
609,9,1,9.0
610,0,1,0.0
611,7,1,7.0
612,6,0,3.0
613,8,1,8.0
614,2,1,2.0
615,7,1,7.0
616,0,0,3.0
617,2,1,2.0
618,3,1,3.0
619,8,1,8.0
620,2,1,2.0
621,2,1,2.0
622,6,0,0.0
623,9,0,7.0
624,3,1,3.0
625,0,1,0.0
626,7,1,7.0
627,8,1,8.0
628,6,0,8.0
629,2,1,2.0
630,9,1,9.0
631,4,1,4.0
632,2,0,6.0
633,6,0,0.0
634,6,0,4.0
635,8,0,4.0
636,0,1,0.0
637,4,0,3.0
638,4,1,4.0
639,4,0,2.0
640,7,1,7.0
641,5,0,9.0
642,8,1,8.0
643,4,1,4.0
644,9,1,9.0
645,1,1,1.0
646,0,1,0.0
647,5,1,5.0
648,4,1,4.0
649,4,1,4.0
650,4,1,4.0
651,0,1,0.0
652,0,1,0.0
653,4,1,4.0
654,5,0,7.0
655,6,0,4.0
656,0,1,0.0
657,4,0,3.0
658,5,1,5.0
659,4,1,4.0
660,1,1,1.0
661,3,0,8.0
662,1,1,1.0
663,1,0,3.0
664,6,0,4.0
665,4,1,4.0
666,3,1,3.0
667,8,1,8.0
668,2,1,2.0
669,8,1,8.0
670,2,0,0.0
671,7,0,9.0
672,0,1,0.0
673,4,1,4.0
674,0,1,0.0
675,8,1,8.0
676,5,1,5.0
677,0,1,0.0
678,8,1,8.0
679,2,1,2.0
680,9,1,9.0
681,0,1,0.0
682,8,1,8.0
683,9,1,9.0
684,6,0,0.0
685,4,1,4.0
686,2,0,4.0
687,9,1,9.0
688,3,0,4.0
689,4,1,4.0
690,5,1,5.0
691,0,1,0.0
692,9,1,9.0
693,5,1,5.0
694,3,1,3.0
695,6,0,4.0
696,6,0,4.0
697,8,0,6.0
698,3,1,3.0
699,3,0,0.0
700,8,1,8.0
701,1,0,3.0
702,4,1,4.0
703,0,1,0.0
704,9,1,9.0
705,7,0,9.0
706,9,1,9.0
707,4,1,4.0
708,8,1,8.0
709,9,1,9.0
710,1,1,1.0
711,6,0,3.0
712,7,1,7.0
713,3,1,3.0
714,0,1,0.0
715,2,0,4.0
716,6,0,4.0
717,7,1,7.0
718,1,1,1.0
719,0,1,0.0
720,0,1,0.0
721,8,1,8.0
722,5,0,7.0
723,2,1,2.0
724,6,0,2.0
725,6,0,4.0
726,6,0,4.0
727,4,1,4.0
728,1,1,1.0
729,5,1,5.0
730,9,1,9.0
731,0,1,0.0
732,2,0,0.0
733,1,0,0.0
734,6,1,6.0
735,5,0,9.0
736,0,1,0.0
737,0,1,0.0
738,3,1,3.0
739,3,1,3.0
740,3,1,3.0
741,8,1,8.0
742,1,1,1.0
743,1,1,1.0
744,8,1,8.0
745,5,1,5.0
746,7,1,7.0
747,7,0,9.0
748,8,1,8.0
749,7,1,7.0
750,2,0,4.0
751,0,1,0.0
752,7,1,7.0
753,3,0,0.0
754,8,1,8.0
755,0,1,0.0
756,9,1,9.0
757,7,1,7.0
758,6,0,4.0
759,1,1,1.0
760,2,0,3.0
761,6,0,2.0
762,4,1,4.0
763,8,1,8.0
764,0,1,0.0
765,6,0,0.0
766,3,1,3.0
767,6,0,4.0
768,8,1,8.0
769,4,1,4.0
770,0,1,0.0
771,8,1,8.0
772,9,1,9.0
773,2,1,2.0
774,4,1,4.0
775,5,1,5.0
776,9,1,9.0
777,1,1,1.0
778,4,1,4.0
779,4,1,4.0
780,9,1,9.0
781,2,1,2.0
782,1,1,1.0
783,7,1,7.0
784,9,1,9.0
785,5,0,7.0
786,8,1,8.0
787,1,0,3.0
788,7,0,9.0
789,7,1,7.0
790,1,1,1.0
791,1,1,1.0
792,1,1,1.0
793,6,0,2.0
794,9,1,9.0
795,5,1,5.0
796,3,1,3.0
797,8,1,8.0
798,4,1,4.0
799,2,0,4.0
800,7,0,9.0
801,4,0,2.0
802,8,1,8.0
803,3,1,3.0
804,2,1,2.0
805,4,1,4.0
806,4,1,4.0
807,7,1,7.0
808,1,1,1.0
809,4,1,4.0
810,9,1,9.0
811,3,1,3.0
812,5,1,5.0
813,8,1,8.0
814,5,1,5.0
815,4,1,4.0
816,7,1,7.0
817,2,1,2.0
818,8,1,8.0
819,5,1,5.0
820,9,1,9.0
821,3,1,3.0
822,3,1,3.0
823,6,0,4.0
824,7,1,7.0
825,1,1,1.0
826,7,1,7.0
827,3,1,3.0
828,5,0,7.0
829,4,1,4.0
830,4,1,4.0
831,5,1,5.0
832,8,1,8.0
833,3,1,3.0
834,7,0,9.0
835,1,1,1.0
836,2,1,2.0
837,6,0,0.0
838,1,1,1.0
839,9,1,9.0
840,8,1,8.0
841,2,1,2.0
842,7,1,7.0
843,1,1,1.0
844,3,0,1.0
845,7,1,7.0
846,5,0,8.0
847,9,1,9.0
848,9,1,9.0
849,1,0,0.0
850,8,1,8.0
851,2,0,4.0
852,5,1,5.0
853,7,1,7.0
854,1,1,1.0
855,9,1,9.0
856,8,1,8.0
857,1,1,1.0
858,0,0,1.0
859,0,1,0.0
860,6,0,2.0
861,1,1,1.0
862,7,1,7.0
863,1,1,1.0
864,1,1,1.0
865,5,1,5.0
866,7,1,7.0
867,1,1,1.0
868,5,1,5.0
869,2,1,2.0
870,2,1,2.0
871,3,1,3.0
872,3,1,3.0
873,1,1,1.0
874,1,1,1.0
875,4,1,4.0
876,9,1,9.0
877,4,1,4.0
878,3,1,3.0
879,7,1,7.0
880,7,1,7.0
881,0,1,0.0
882,8,1,8.0
883,9,1,9.0
884,9,1,9.0
885,6,0,4.0
886,1,1,1.0
887,3,0,1.0
888,4,0,8.0
889,0,1,0.0
890,0,0,3.0
891,5,1,5.0
892,9,1,9.0
893,2,1,2.0
894,0,0,3.0
895,5,1,5.0
896,5,1,5.0
897,1,1,1.0
898,5,0,9.0
899,7,1,7.0
900,8,1,8.0
901,7,1,7.0
902,5,0,9.0
903,3,1,3.0
904,6,1,6.0
905,4,1,4.0
906,0,1,0.0
907,4,0,2.0
908,0,1,0.0
909,6,0,2.0
910,0,1,0.0
911,2,1,2.0
912,5,1,5.0
913,5,1,5.0
914,1,1,1.0
915,2,1,2.0
916,0,1,0.0
917,9,1,9.0
918,3,1,3.0
919,7,1,7.0
920,8,1,8.0
921,6,0,4.0
922,8,1,8.0
923,3,1,3.0
924,4,1,4.0
925,7,0,5.0
926,0,1,0.0
927,7,1,7.0
928,4,1,4.0
929,8,1,8.0
930,0,0,8.0
931,3,1,3.0
932,4,1,4.0
933,4,1,4.0
934,3,1,3.0
935,4,1,4.0
936,9,1,9.0
937,0,1,0.0
938,6,0,4.0
939,4,0,3.0
940,9,1,9.0
941,1,1,1.0
942,8,1,8.0
943,1,1,1.0
944,7,1,7.0
945,5,0,9.0
946,5,0,7.0
947,6,0,4.0
948,0,1,0.0
949,2,1,2.0
950,1,1,1.0
951,0,1,0.0
952,5,1,5.0
953,4,1,4.0
954,0,1,0.0
955,0,1,0.0
956,6,1,6.0
957,7,1,7.0
958,5,0,9.0
959,0,1,0.0
960,3,0,4.0
961,5,1,5.0
962,9,1,9.0
963,6,0,4.0
964,8,1,8.0
965,0,0,2.0
966,6,0,0.0
967,4,0,3.0
968,6,0,0.0
969,2,1,2.0
970,9,1,9.0
971,6,0,3.0
972,7,1,7.0
973,7,1,7.0
974,1,1,1.0
975,4,1,4.0
976,2,0,4.0
977,6,0,0.0
978,5,1,5.0
979,3,0,0.0
980,9,1,9.0
981,9,1,9.0
982,8,1,8.0
983,8,1,8.0
984,3,1,3.0
985,0,1,0.0
986,2,0,4.0
987,4,1,4.0
988,6,1,6.0
989,6,1,6.0
990,3,1,3.0
